Analyst : Administrator
SampleID : Kwas_Tereftalowy_0p1mg/ml
Sample : hf
Sample Injected : 05.10.2023 15:25:23
Range : 10000 mAU
Rate : 10 per sec.
Bipolar : Yes
Amount : 0
Dilution : 1
ISTD Amount : 0
Inj. Volume : 0.02
Retention Unit : Seconds
Detector Unit : mAU
Y Axis Title: Absorbance
Data Original : C:\ClarityChrom\DataFiles\2023-07-24 Polysep1000\Data\331_Kwas_Tereftalowy_0p1mg_ml.prm
Converted : 09.05.2024 13:33:04

[Min.]	[mAU]
0	0.16899999976158142
0.0016666666666666668	0.15399999916553497
0.0033333333333333335	0.13300000131130219
0.0050000000000000001	0.10599999874830246
0.0066666666666666671	0.10100000351667404
0.0083333333333333332	0.10400000214576721
0.01	0
0.011666666666666667	0
0.013333333333333334	0
0.014999999999999999	0
0.016666666666666666	-0.017999999225139618
0.018333333333333333	-0.054999999701976776
0.02	-0.046999998390674591
0.021666666666666667	-0.0020000000949949026
0.023333333333333334	0.05299999937415123
0.025000000000000001	0.046999998390674591
0.026666666666666668	0.028000000864267349
0.028333333333333332	0.041999999433755875
0.029999999999999999	0.043000001460313797
0.031666666666666669	0.032999999821186066
0.033333333333333333	0.013000000268220901
0.035000000000000003	0.034000001847743988
0.036666666666666667	0.039999999105930328
0.03833333333333333	0.030999999493360519
0.040000000000000001	0.02500000037252903
0.041666666666666664	0.043999999761581421
0.043333333333333335	0.064999997615814209
0.044999999999999998	0.032000001519918442
0.046666666666666669	0.008999999612569809
0.048333333333333332	-0.0060000000521540642
0.050000000000000003	-0.0020000000949949026
0.051666666666666666	0.004999999888241291
0.053333333333333337	0.037999998778104782
0.055	0.057000000029802322
0.056666666666666664	0.065999999642372131
0.058333333333333334	0.043000001460313797
0.059999999999999998	0.016000000759959221
0.061666666666666668	0.0070000002160668373
0.063333333333333339	0.014000000432133675
0.065000000000000002	0.0099999997764825821
0.066666666666666666	0.014999999664723873
0.068333333333333329	0.048000000417232513
0.070000000000000007	0.063000001013278961
0.07166666666666667	0.079999998211860657
0.073333333333333334	0.068999998271465302
0.074999999999999997	0.071999996900558472
0.076666666666666661	0.074000000953674316
0.078333333333333338	0.079000003635883331
0.080000000000000002	0.061999998986721039
0.081666666666666665	0.027000000700354576
0.083333333333333329	0.032000001519918442
0.085000000000000006	0.05000000074505806
0.08666666666666667	0.086000002920627594
0.088333333333333333	0.068999998271465302
0.089999999999999997	0.061999998986721039
0.09166666666666666	0.068999998271465302
0.093333333333333338	0.085000000894069672
0.095000000000000001	0.10199999809265137
0.096666666666666665	0.097000002861022949
0.098333333333333328	0.068999998271465302
0.10000000000000001	0.046999998390674591
0.10166666666666667	0.070000000298023224
0.10333333333333333	0.10000000149011612
0.105	0.094999998807907104
0.10666666666666667	0.083999998867511749
0.10833333333333334	0.094999998807907104
0.11	0.11100000143051147
0.11166666666666666	0.125
0.11333333333333333	0.11599999666213989
0.115	0.10700000077486038
0.11666666666666667	0.071999996900558472
0.11833333333333333	0.081000000238418579
0.12	0.087999999523162842
0.12166666666666667	0.094999998807907104
0.12333333333333334	0.087999999523162842
0.125	0.071000002324581146
0.12666666666666668	0.071999996900558472
0.12833333333333333	0.098999999463558197
0.13	0.14100000262260437
0.13166666666666665	0.12099999934434891
0.13333333333333333	0.097999997437000275
0.13500000000000001	0.087999999523162842
0.13666666666666666	0.090999998152256012
0.13833333333333334	0.075000002980232239
0.14000000000000001	0.054000001400709152
0.14166666666666666	0.082000002264976501
0.14333333333333334	0.10700000077486038
0.14499999999999999	0.11599999666213989
0.14666666666666667	0.12700000405311584
0.14833333333333334	0.164000004529953
0.14999999999999999	0.15600000321865082
0.15166666666666667	0.12300000339746475
0.15333333333333332	0.10400000214576721
0.155	0.092000000178813934
0.15666666666666668	0.10499999672174454
0.15833333333333333	0.12099999934434891
0.16	0.13199999928474426
0.16166666666666665	0.13099999725818634
0.16333333333333333	0.14900000393390656
0.16500000000000001	0.14900000393390656
0.16666666666666666	0.13199999928474426
0.16833333333333333	0.098999999463558197
0.17000000000000001	0.093999996781349182
0.17166666666666666	0.11100000143051147
0.17333333333333334	0.15700000524520874
0.17499999999999999	0.1679999977350235
0.17666666666666667	0.14599999785423279
0.17833333333333334	0.14100000262260437
0.17999999999999999	0.16500000655651093
0.18166666666666667	0.15800000727176666
0.18333333333333332	0.14499999582767487
0.185	0.15999999642372131
0.18666666666666668	0.18299999833106995
0.18833333333333332	0.1679999977350235
0.19	0.16699999570846558
0.19166666666666668	0.16599999368190765
0.19333333333333333	0.14699999988079071
0.19500000000000001	0.12600000202655792
0.19666666666666666	0.11599999666213989
0.19833333333333333	0.11299999803304672
0.20000000000000001	0.10499999672174454
0.20166666666666666	0.13199999928474426
0.20333333333333334	0.14399999380111694
0.20499999999999999	0.15099999308586121
0.20666666666666667	0.12399999797344208
0.20833333333333334	0.1120000034570694
0.20999999999999999	0.11999999731779099
0.21166666666666667	0.15199999511241913
0.21333333333333335	0.17399999499320984
0.215	0.17499999701976776
0.21666666666666667	0.18899999558925629
0.21833333333333332	0.17599999904632568
0.22	0.15700000524520874
0.22166666666666668	0.14599999785423279
0.22333333333333333	0.14200000464916229
0.22500000000000001	0.14399999380111694
0.22666666666666666	0.14300000667572021
0.22833333333333333	0.14900000393390656
0.23000000000000001	0.16099999845027924
0.23166666666666666	0.14800000190734863
0.23333333333333334	0.12999999523162842
0.23499999999999999	0.12700000405311584
0.23666666666666666	0.15700000524520874
0.23833333333333334	0.18700000643730164
0.23999999999999999	0.21799999475479126
0.24166666666666667	0.21400000154972076
