Analyst : Administrator
SampleID : TPA_0028mg_Brzeczka_czysta
Sample : TPA_0028mg_Brzeczka_czysta
Sample Injected : 02.02.2024 05:26:55
Range : 10000 mAU
Rate : 10 per sec.
Bipolar : Yes
Amount : 0
Dilution : 1
ISTD Amount : 0
Inj. Volume : 0.02
Retention Unit : Seconds
Detector Unit : mAU
Y Axis Title: Absorbance
Data Original : C:\ClarityChrom\DataFiles\2024-01-04 polysep-gfc-1000 90P 0p1M Na2PO4 10P MeOH\Data\233_TPA_0028mg_Brzeczka_czysta.prm
Converted : 09.05.2024 13:24:04

[Min.]	[mAU]
0	-0.16300000250339508
0.0016666666666666668	-0.14900000393390656
0.0033333333333333335	-0.17200000584125519
0.0050000000000000001	-0.22400000691413879
0.0066666666666666671	-0.23199999332427979
0.0083333333333333332	-0.21600000560283661
0.01	-0.17200000584125519
0.011666666666666667	-0.15700000524520874
0.013333333333333334	0
0.014999999999999999	0
0.016666666666666666	0
0.018333333333333333	0
0.02	0.030999999493360519
0.021666666666666667	0.092000000178813934
0.023333333333333334	0.11400000005960464
0.025000000000000001	0.093999996781349182
0.026666666666666668	0.065999999642372131
0.028333333333333332	0.076999999582767487
0.029999999999999999	0.10599999874830246
0.031666666666666669	0.11299999803304672
0.033333333333333333	0.11100000143051147
0.035000000000000003	0.10000000149011612
0.036666666666666667	0.090999998152256012
0.03833333333333333	0.063000001013278961
0.040000000000000001	0.035999998450279236
0.041666666666666664	0.017000000923871994
0.043333333333333335	0.028999999165534973
0.044999999999999998	0.048000000417232513
0.046666666666666669	0.05000000074505806
0.048333333333333332	0.05000000074505806
0.050000000000000003	0.041000001132488251
0.051666666666666666	0.039999999105930328
0.053333333333333337	0.030999999493360519
0.055	0.030999999493360519
0.056666666666666664	0.034000001847743988
0.058333333333333334	0.037999998778104782
0.059999999999999998	0.048999998718500137
0.061666666666666668	0.043000001460313797
0.063333333333333339	0.016000000759959221
0.065000000000000002	-0.020999999716877937
0.066666666666666666	-0.037999998778104782
0.068333333333333329	-0.027000000700354576
0.070000000000000007	0.0060000000521540642
0.07166666666666667	0.02199999988079071
0.073333333333333334	0.0080000003799796104
0.074999999999999997	-0.012000000104308128
0.076666666666666661	-0.0030000000260770321
0.078333333333333338	0.013000000268220901
0.080000000000000002	0.028000000864267349
0.081666666666666665	0.05000000074505806
0.083333333333333329	0.054999999701976776
0.085000000000000006	0.041000001132488251
0.08666666666666667	0.034000001847743988
0.088333333333333333	0.05000000074505806
0.089999999999999997	0.039000000804662704
0.09166666666666666	0.037000000476837158
0.093333333333333338	0.064000003039836884
0.095000000000000001	0.079000003635883331
0.096666666666666665	0.061999998986721039
0.098333333333333328	0.041000001132488251
0.10000000000000001	0.023000000044703484
0.10166666666666667	0.013000000268220901
0.10333333333333333	0.014000000432133675
0.105	0.017000000923871994
0.10666666666666667	0.018999999389052391
0.10833333333333334	0.023000000044703484
0.11	0.014000000432133675
0.11166666666666666	0.012000000104308128
0.11333333333333333	0.014000000432133675
0.115	0.018999999389052391
0.11666666666666667	0.012000000104308128
0.11833333333333333	0.004999999888241291
0.12	0.008999999612569809
0.12166666666666667	0.0020000000949949026
0.12333333333333334	-0.0040000001899898052
0.125	-0.0070000002160668373
0.12666666666666668	-0.016000000759959221
0.12833333333333333	-0.039000000804662704
0.13	-0.039000000804662704
0.13166666666666665	-0.014999999664723873
0.13333333333333333	-0.0080000003799796104
0.13500000000000001	0.017000000923871994
0.13666666666666666	0.032999999821186066
0.13833333333333334	0.012000000104308128
0.14000000000000001	-0.037000000476837158
0.14166666666666666	-0.054000001400709152
0.14333333333333334	-0.056000001728534698
0.14499999999999999	-0.023000000044703484
0.14666666666666667	-0.013000000268220901
0.14833333333333334	-0.013000000268220901
0.14999999999999999	-0.027000000700354576
0.15166666666666667	-0.028000000864267349
0.15333333333333332	-0.030999999493360519
0.155	-0.037000000476837158
0.15666666666666668	-0.037000000476837158
0.15833333333333333	-0.059000000357627869
0.16	-0.05299999937415123
0.16166666666666665	-0.070000000298023224
0.16333333333333333	-0.082000002264976501
0.16500000000000001	-0.097999997437000275
0.16666666666666666	-0.093999996781349182
0.16833333333333333	-0.070000000298023224
0.17000000000000001	-0.054000001400709152
0.17166666666666666	-0.046999998390674591
0.17333333333333334	-0.083999998867511749
0.17499999999999999	-0.097999997437000275
0.17666666666666667	-0.096000000834465027
0.17833333333333334	-0.054000001400709152
0.17999999999999999	-0.037999998778104782
0.18166666666666667	-0.067000001668930054
0.18333333333333332	-0.11699999868869781
0.185	-0.14699999988079071
0.18666666666666668	-0.11500000208616257
0.18833333333333332	-0.064000003039836884
0.19	-0.0040000001899898052
0.19166666666666668	-0.0020000000949949026
0.19333333333333333	-0.014999999664723873
0.19500000000000001	-0.034000001847743988
0.19666666666666666	-0.030999999493360519
0.19833333333333333	-0.034000001847743988
0.20000000000000001	-0.037999998778104782
0.20166666666666666	-0.050999999046325684
0.20333333333333334	-0.072999998927116394
0.20499999999999999	-0.086999997496604919
0.20666666666666667	-0.072999998927116394
0.20833333333333334	-0.05299999937415123
0.20999999999999999	-0.054000001400709152
0.21166666666666667	-0.059000000357627869
0.21333333333333335	-0.070000000298023224
0.215	-0.082999996840953827
0.21666666666666667	-0.065999999642372131
0.21833333333333332	-0.032999999821186066
0.22	-0.034000001847743988
0.22166666666666668	-0.072999998927116394
0.22333333333333333	-0.10300000011920929
0.22500000000000001	-0.097000002861022949
0.22666666666666666	-0.10199999809265137
0.22833333333333333	-0.10100000351667404
0.23000000000000001	-0.10000000149011612
